Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
LGIH,LGI Homes Inc,F,D,C,C,C,3095.401809,1X
MAT,"Mattel, Inc.",A,B,C,C,C,8274.085932,2X
MCD,McDonald`s Corp,F,C,C,C,C,178425.1872,4X
MCHP,"Microchip Technology, Inc.",F,B,B,C,C,42361.12963,4X
0HCI,Alibaba Group Holding Ltd,F,,,,,291802.7453,4X
AA,Alcoa Corp,A,B,C,C,C,15405.2459,2X
ABNB,Airbnb Inc,A,D,D,C,D,56204.48928,4X
ABT,Abbott Laboratories,F,B,B,C,B,217081.4844,4X
AEGN,Aegion Corp,A,C,B,F,D,921.8967986,.5X
AEIS,Advanced Energy Industries Inc.,D,C,C,C,C,3475.449312,1X
AFL,Aflac Inc.,A,B,B,B,B,42223.16792,4X
AGTC,Applied Genetic Technologies Corp,D,D,C,D,D,80.576189,.25X
AKAOQ,Achaogen Inc,B,,,,,1.596999875,.25X
ALB,Albemarle Corp.,F,B,B,C,C,23184.14163,4X
ALGT,Allegiant Travel,F,D,C,C,C,2832.150194,1X
ANIK,Anika Therapeutics Inc.,F,C,C,C,C,407.5947713,.25X
APD,Air Products & Chemicals Inc.,F,B,B,C,B,51283.55078,4X
APPN,Appian Corp,D,C,C,C,C,2452.559396,.5X
ARGO,Argo Group International Holdings Ltd,F,C,C,C,C,1422.67656,.5X
ASND,Ascendis Pharma A/S,F,C,C,C,C,6667.772266,2X
AVDL,Avadel Pharmaceuticals plc,F,,,,,428.66848,.25X
BA,Boeing Co.,D,B,C,D,C,113027.6716,4X
BGFV,Big 5 Sporting Goods Corp,F,C,C,C,C,382.9382116,.25X
BHE,Benchmark Electronics Inc.,D,C,C,C,C,938.6559827,.5X
BK,Bank Of New York Mellon Corp,F,B,B,D,C,45143.98336,4X
BKNG,Booking Holdings Inc,F,C,C,B,C,89769.54098,4X
BMRN,Biomarin Pharmaceutical Inc.,D,C,C,D,C,14974.37867,2X
BNTX,BioNTech SE,F,,,,,42135.765,4X
BSET,Bassett Furniture Industries Inc.,A,C,C,C,C,199.3119338,.25X
BWAY,Brainsway Ltd,A,,,,,132.2726087,.25X
CCRN,"Cross Country Healthcares, Inc.",F,C,C,C,C,855.4626117,.25X
CERN,Cerner Corp.,A,C,C,C,C,27678.65525,4X
CIEN,CIENA Corp.,F,C,B,C,C,9311.245281,2X
CKH,SEACOR Holdings Inc,C,C,C,C,C,850.690406,.25X
CLB,Core Laboratories N.V.,A,C,C,B,C,1343.603872,.5X
CMRE,Costamare Inc,A,D,C,D,D,2055.944397,.5X
CNA,CNA Financial Corp.,A,B,C,C,C,12959.79588,2X
CNC,Centene Corp.,A,C,C,D,D,51156.24222,4X
CNX,CNX Resources Corp,A,B,C,C,C,4109.990626,1X
COST,Costco Wholesale Corp,D,B,C,C,C,248017.7963,4X
CQP,Cheniere Energy Partners LP,A,C,C,D,C,22923.38247,4X
CRI,Carters Inc,D,C,B,B,C,4257.631879,1X
CRTO,Criteo S.A,F,C,C,C,C,1678.872984,.5X
CSIQ,Canadian Solar Inc,A,B,B,D,C,2096.00569,.5X
CSOD,Cornerstone OnDemand Inc,B,D,C,D,D,3843.652622,1X
CSU,Capital Senior Living Corp.,A,C,C,C,C,146.9453809,.25X
CTAS,Cintas Corporation,F,C,C,B,B,41401.31042,4X
CYH,"Community Health Systems, Inc.",F,C,C,C,C,1533.426811,.5X
DAKT,Daktronics Inc.,F,C,C,B,C,185.9646594,.25X
DBX,Dropbox Inc,D,C,B,C,C,6966.640305,2X
DFS,Discover Financial Services,A,C,B,C,C,34690.42409,4X
DLB,Dolby Laboratories Inc,F,C,C,C,C,4870.778989,1X
DMRC,Digimarc Corporation,F,C,C,C,C,448.65719,.25X
DNLI,Denali Therapeutics Inc,F,D,C,B,C,4273.215624,1X
DOX,Amdocs Ltd,A,B,B,C,C,10342.36245,2X
DVN,Devon Energy Corp.,A,B,C,C,C,39448.79,4X
EB,Eventbrite Inc,F,D,C,D,D,1092.08057,.5X
ECL,"Ecolab, Inc.",F,B,B,B,B,48960.96734,4X
EEFT,Euronet Worldwide Inc,A,D,C,D,C,6793.743126,2X
ELF,e.l.f. Beauty Inc,F,D,D,B,C,1343.333964,.5X
EME,"Emcor Group, Inc.",D,C,C,B,B,6430.017474,2X
EMKR,Emcore Corp.,F,D,C,C,C,141.2678035,.25X
ENB,Enbridge Inc,A,C,C,C,C,90834.86294,4X
EPAC,Enerpac Tool Group Corp,D,C,C,C,C,1210.634806,.5X
ESNT,Essent Group Ltd,F,B,B,C,C,4659.476297,1X
EV,Eaton Vance Corp.,D,C,C,C,C,8344.34622,2X
EVER,EverQuote Inc,D,D,D,C,C,345.2434329,.25X
EW,Edwards Lifesciences Corp,F,B,B,C,B,70292.68086,4X
FBHS,Fortune Brands Home & Security Inc,F,C,C,C,C,11985.81495,2X
FFG,"FBL Financial Group, Inc.",B,D,C,B,C,1487.247798,.5X
FIVE,Five Below Inc,F,C,B,D,C,9197.097593,2X
FMS,Fresenius Medical Care AG & Co. KGaA,A,D,C,D,D,19636.29194,2X
FN,Fabrinet,F,B,B,B,B,3867.307691,1X
FR,First Majestic Silver Corporation,A,B,B,C,C,2705.303752,1X
GCI,Gannett Co Inc.,F,D,C,C,C,668.356892,.25X
GE,General Electric Co.,A,B,C,D,C,14214.73431,2X
GIII,G-III Apparel Group Ltd.,A,D,C,C,D,1525.947082,.5X
GLNG,Golar Lng,A,C,C,D,C,2311.014346,.5X
GLOG,GasLog Ltd,A,C,C,D,D,552.3261995,.25X
GRA,W.R. Grace & Co.,A,B,B,C,C,4636.949624,1X
GS,"Goldman Sachs Group, Inc.",F,B,C,D,D,117347.0666,4X
GSKY,GreenSky Inc,F,D,C,D,D,815.2962016,.25X
GTLS,Chart Industries Inc,A,C,C,C,C,6195.860547,2X
HEXO,HEXO Corp,F,C,C,B,C,162.5191615,.25X
HLI,Houlihan Lokey Inc,D,,,,,4968.999482,1X
HMSY,HMS Holdings Corp,A,D,C,D,C,3277.425768,1X
HVT,"Haverty Furniture Cos., Inc.",D,C,C,B,C,501.459665,.25X
IEX,Idex Corporation,F,C,B,C,B,15122.86888,2X
IMMR,Immersion Corp,D,D,C,C,C,182.613981,.25X
INCY,Incyte Corp.,A,C,C,C,C,16606.81223,2X
IPGP,IPG Photonics Corp,F,C,C,B,B,6366.137407,2X
ITT,ITT Inc,F,C,C,B,C,7005.957,2X
IVC,Invacare Corp.,F,C,C,D,C,60.55755664,.25X
JAKK,Jakks Pacific Inc.,A,,,,,132.4792779,.25X
JBSS,"Sanfilippo (John B.) & Son, Inc",F,C,C,B,C,731.5917168,.25X
JNPR,Juniper Networks Inc,D,B,B,D,C,11481.1108,2X
JOBS,51Job Inc.,A,D,D,B,C,3547.197193,1X
KELYA,"Kelly Services, Inc.",A,C,C,B,C,810.2681007,.25X
KMI,Kinder Morgan Inc,A,B,B,C,B,39313.15364,4X
KR,Kroger Co.,A,B,C,C,C,41509.90046,4X
KRO,"Kronos Worldwide, Inc.",A,C,C,C,C,1855.731667,.5X
AAWW,Atlas Air Worldwide Holdings Inc.,D,C,D,C,C,2559.704696,.5X
ADP,Automatic Data Processing Inc.,F,B,B,C,B,90754.47279,4X
AEP,American Electric Power Company Inc.,A,B,C,D,C,47058.64346,4X
AFMD,Affimed N.V.,F,D,C,C,C,509.1191824,.25X
ALK,Alaska Air Group Inc.,A,C,C,B,C,6911.593872,2X
ALTR,Altair Engineering Inc,F,B,B,C,C,3175.810926,1X
AMCX,AMC Networks Inc,A,D,C,C,D,1244.616638,.5X
AMOT,Allied Motion Technologies Inc,F,D,C,D,D,457.7830278,.25X
AMRS,Amyris Inc,F,C,C,D,C,1428.621652,.5X
ANTM,Anthem Inc,A,B,B,B,B,116548.6757,4X
ARMK,Aramark,A,C,C,C,C,9492.438302,2X
ASAN,Asana Inc,F,,,,,4178.466274,1X
ATGE,Adtalem Global Education Inc,D,C,C,C,C,1451.402784,.5X
ATI,Allegheny Technologies Inc,A,C,C,C,C,3318.566083,1X
ATUS,Altice USA Inc,F,D,C,D,D,3165.885937,1X
AWR,American States Water Co.,F,C,C,C,C,3227.674206,1X
BABA,Alibaba Group Holding Ltd,F,,,,,293591.9483,4X
BALY,Ballys Corporation,F,D,D,D,D,1706.265853,.5X
BAND,Bandwidth Inc,F,D,C,D,D,689.7304764,.25X
BKR,Baker Hughes Co,A,B,B,C,B,29237.31068,4X
BMO,Bank of Montreal,A,B,B,C,C,78588.606,4X
BMY,Bristol-Myers Squibb Co.,A,B,B,D,C,157814.5045,4X
BPMC,Blueprint Medicines Corp,F,D,C,C,C,3810.826457,1X
CACI,Caci International Inc.,A,C,C,D,C,6964.013285,2X
CAKE,Cheesecake Factory Inc.,D,C,C,D,C,1988.525798,.5X
CATO,Cato Corp.,F,D,C,C,C,356.59007,.25X
CCI,Crown Castle International Corp,F,C,C,C,C,75582.49769,4X
CCO,Clear Channel Outdoor Holdings Inc.,A,B,B,C,B,1746.935539,.5X
CDE,Coeur Mining Inc,D,B,C,C,C,1215.73193,.5X
CDEV,Centennial Resource Development Inc.,A,B,C,C,C,2218.367136,.5X
CDLX,Cardlytics Inc,F,D,C,D,D,1792.426076,.5X
CFX,Colfax Corp,F,C,B,C,C,5968.846475,2X
CGC,Canopy Growth Corporation,F,B,B,C,C,2799.437591,1X
CHDN,"Churchill Downs, Inc.",D,D,C,C,C,9016.002435,2X
COP,Conoco Phillips,A,C,B,C,C,133372.5755,4X
COUP,Coupa Software Inc,F,D,C,D,D,6714.227108,2X
CSGS,CSG Systems International Inc.,A,D,C,C,C,2083.082558,.5X
CUB,Cubic Corp.,C,C,C,D,C,2381.469975,.5X
CWST,"Casella Waste Systems, Inc.",A,B,C,C,C,4388.182071,1X
DG,Dollar General Corp.,D,B,C,C,B,53575.02536,4X
DIOD,"Diodes, Inc.",F,B,C,C,C,4116.856778,1X
DKS,"Dicks Sporting Goods, Inc.",D,C,B,C,B,7441.195225,2X
DOV,Dover Corp.,F,B,B,C,C,22923.29661,4X
DSPG,"DSP Group, Inc.",A,D,C,C,C,531.415911,.25X
ECPG,"Encore Capital Group, Inc.",A,D,C,D,D,1954.231781,.5X
EIGI,Endurance International Group Holdings Inc,A,D,C,C,C,1344.859473,.5X
ENTA,Enanta Pharmaceuticals Inc,D,D,D,B,C,1425.955519,.5X
EOLS,Evolus Inc,A,D,C,D,D,621.6224168,.25X
EPAY,Bottomline Technologies (Delaware) Inc,A,C,C,C,C,2587.333357,1X
ERJ,Embraer S.A.,F,,,,,2234.35321,.5X
EVRG,Evergy Inc,D,B,C,C,C,14851.62084,2X
EXLS,Exlservice Hldgs Inc,D,C,B,C,C,4563.83151,1X
FAF,First American Financial Corp,F,D,D,C,C,7535.010447,2X
FDX,Fedex Corp,F,B,C,C,C,58153.45376,4X
FLDM,Fluidigm Corp,D,D,C,C,C,288.6728466,.25X
FOXF,Fox Factory Holding Corp,F,D,C,D,C,4542.112958,1X
FRANQ,Francesca`s Holdings Corp,A,C,B,D,C,0.4455648,.25X
GATX,GATX Corp.,A,C,C,D,D,4379.635,1X
GHM,Graham Corp.,F,D,C,C,C,83.60683402,.25X
GLOB,Globant S.A.,F,C,C,C,C,11372.51961,2X
GRC,Gorman-Rupp Co.,F,C,C,B,C,963.2892168,.5X
GRPN,Groupon Inc,F,D,C,D,C,563.6239268,.25X
GRUB,GrubHub Inc,A,C,D,B,C,5585.103577,1X
GTE,Gran Tierra Energy Inc,A,B,B,C,C,554.1575999,.25X
HA,"Hawaiian Holdings, Inc.",A,C,C,C,C,953.4983226,.5X
HI,Hillenbrand Inc,F,C,B,D,C,3386.058926,1X
HLIT,"Harmonic, Inc.",F,D,C,C,C,978.352729,.5X
HMHC,Houghton Mifflin Harcourt Co,A,C,C,C,C,2668.243853,1X
HOLI,Hollysys Automation Technologies Ltd,A,D,D,B,C,1036.774675,.5X
HY,Hyster-Yale Materials Handling Inc,F,C,B,D,C,464.7538541,.25X
IAA,IAA Inc,F,D,C,C,C,5433.658605,1X
IBM,International Business Machines Corp.,D,B,C,D,C,115410.1726,4X
IBP,Installed Building Products Inc,F,C,C,C,C,3126.975135,1X
IMO,Imperial Oil Ltd.,A,C,C,B,C,30254.5934,4X
INFY,Infosys Ltd,D,,,,,106216.3688,4X
IOSP,Innospec Inc,A,B,C,B,B,2313.874786,.5X
IRWD,Ironwood Pharmaceuticals Inc,A,D,C,D,D,2034.558687,.5X
ITGR,Integer Holdings Corp,D,D,C,C,C,2620.534606,1X
JNJ,Johnson & Johnson,A,B,B,C,C,460263.169,4X
KHC,Kraft Heinz Co,A,B,C,D,C,46023.82406,4X
KL,Kirkland Lake Gold Ltd,D,B,B,C,B,10346.47813,2X
KNL,Knoll Inc,A,B,B,D,C,1261.37037,.5X
KOP,Koppers Holdings Inc,D,C,C,D,D,638.0470434,.25X
KRNT,Kornit Digital Ltd,F,C,C,C,C,4067.79726,1X
L,Loews Corp.,A,C,C,B,C,16275.09213,2X
LDOS,Leidos Holdings Inc,A,B,C,D,D,14932.2955,2X
LEG,"Leggett & Platt, Inc.",F,C,B,D,C,4929.434,1X
LOVE,Lovesac Company,F,D,D,B,C,729.7706708,.25X
LOW,"Lowe`s Cos., Inc.",F,B,B,B,B,163185.6121,4X
MA,Mastercard Incorporated,D,B,B,C,C,342678.1809,4X
MAN,ManpowerGroup,D,C,C,C,C,5276.858348,1X
MANH,"Manhattan Associates, Inc.",F,D,C,B,C,8908.318684,2X
MANT,Mantech International Corp,A,C,C,C,C,2328.992198,.5X
MAS,Masco Corp.,F,B,B,C,B,14187.15379,2X
MD,MEDNAX Inc,F,C,C,C,C,2068.772342,.5X
MKTX,MarketAxess Holdings Inc.,F,C,C,C,C,13446.05163,2X
AAL,American Airlines Group Inc,D,C,C,C,C,10844.91867,2X
ACLS,Axcelis Technologies Inc,A,B,B,C,C,2703.774054,1X
ADMS,Adamas Pharmaceuticals Inc,C,D,C,F,D,374.7976733,.25X
AEL,American Equity Investment Life Holding Co,A,C,C,D,C,3677.384635,1X
AIMC,Altra Industrial Motion Corp,F,C,C,C,C,2646.694458,1X
AJRD,Aerojet Rocketdyne Holdings Inc,F,C,C,C,C,3153.119855,1X
AMKR,AMKOR Technology Inc.,D,C,B,C,C,5751.850933,1X
AMP,Ameriprise Financial Inc,D,B,B,D,C,34217.05277,4X
AMPH,Amphastar Pharmaceuticals Inc,A,D,C,C,C,1643.643679,.5X
ASRT,Assertio Holdings Inc,A,D,C,D,D,19.24367706,.25X
ATHM,Autohome Inc,A,D,C,B,C,3780.929461,1X
AVA,Avista Corp.,A,B,B,C,C,3043.785745,1X
AVAV,AeroVironment Inc.,A,C,C,B,C,2312.178466,.5X
AVID,"Avid Technology, Inc.",D,C,C,D,C,1459.792747,.5X
AXDX,Accelerate Diagnostics Inc,F,D,D,D,D,119.9224553,.25X
BAC,Bank Of America Corp.,D,B,C,C,C,360999.3765,4X
BAH,Booz Allen Hamilton Holding Corp,A,C,C,C,C,11717.88928,2X
BG,Bunge Ltd.,A,B,B,D,C,14837.88018,2X
BIDU,Baidu Inc,A,C,D,D,D,42270.37143,4X
BILI,Bilibili Inc,F,D,C,D,D,8282.830746,2X
BILL,Bill.com Holdings Inc,F,B,B,C,B,22301.93788,4X
BL,BlackLine Inc,F,D,D,D,D,4342.704094,1X
BLDP,Ballard Power Systems Inc.,D,C,B,C,C,3496.872615,1X
BOOT,Boot Barn Holdings Inc,F,C,B,B,B,3093.618428,1X
BTEGF,Baytex Energy Corp,A,,,,,2426.06,.5X
C,Citigroup Inc,D,C,C,D,C,116236.1302,4X
CAMP,Calamp Corp.,A,C,C,C,C,266.9616038,.25X
CB,Chubb Limited,A,B,C,B,B,92797.90438,4X
CBOE,Cboe Global Markets Inc.,F,C,C,B,C,12453.57633,2X
CDNA,Caredx Inc,F,D,D,C,C,2089.298451,.5X
CDNS,"Cadence Design Systems, Inc.",F,C,B,C,C,43972.0386,4X
CHGG,Chegg Inc,A,D,C,D,C,4879.981992,1X
CIT,CIT Group Inc,A,C,C,C,C,5304.2147,1X
CLF,Cleveland-Cliffs Inc,A,C,C,F,D,13727.71748,2X
CLSK,Cleanspark Inc,A,,,,,425.6715653,.25X
CNK,Cinemark Holdings Inc,D,D,C,D,D,1922.407947,.5X
CNO,CNO Financial Group Inc,A,C,C,C,C,3143.613779,1X
COMM,CommScope Holding Company Inc,F,B,B,C,C,1768.388289,.5X
CPRI,Capri Holdings Ltd,F,C,C,C,C,8445.924064,2X
CRMT,"Americas Car Mart, Inc.",F,D,D,D,D,593.6229722,.25X
CRY,Artivion Inc,F,D,C,F,D,703.2128904,.25X
CS,Credit Suisse Group AG,F,B,B,B,B,21603.59392,4X
CW,Curtiss-Wright Corp.,A,C,C,D,C,6311.671766,2X
CWT,California Water Service Group,F,C,C,C,C,3014.28215,1X
CYD,China Yuchai International,F,D,D,D,D,472.3218324,.25X
DISCA,Discovery Inc,A,C,C,C,C,4440.223753,1X
EBS,Emergent Biosolutions Inc,D,B,C,C,C,2296.243172,.5X
ED,"Consolidated Edison, Inc.",A,B,C,D,C,31344.96637,4X
EDU,New Oriental Education & Technology Group Inc.,F,,,,,2194.200154,.5X
EGAN,eGain Corp,A,D,C,B,C,368.1612109,.25X
ENDP,Endo International plc,F,C,C,D,C,562.7356748,.25X
ENPH,Enphase Energy Inc,A,C,C,C,C,24840.30309,4X
ESGC,Eros STX Global Corporation,F,D,C,D,C,71.98186978,.25X
ESTC,Elastic N.V,F,D,C,B,C,7897.752291,2X
EXTR,Extreme Networks Inc.,F,D,C,C,C,1661.584421,.5X
F,Ford Motor Co.,F,B,C,D,C,66157.16165,4X
FB,Meta Platforms Inc,F,C,C,C,C,516071.5168,4X
FCX,Freeport-McMoRan Inc,A,B,B,C,B,70584.53553,4X
FEYE,FireEye Inc,C,D,C,D,D,4130.843042,1X
FHI,Federated Hermes Inc,F,D,C,B,C,3273.007725,1X
FLO,"Flowers Foods, Inc.",D,C,C,C,C,5363.73267,1X
FPRX,Five Prime Therapeutics Inc,A,D,C,D,D,1769.737102,.5X
FSS,Federal Signal Corp.,F,B,C,C,C,2112.102654,.5X
FTCH,Farfetch Ltd,F,C,C,C,C,4469.74784,1X
GDDY,Godaddy Inc,D,C,C,D,D,13827.21181,2X
GFI,Gold Fields Ltd,A,B,B,C,B,13839.51346,2X
GHL,Greenhill & Co Inc,F,D,C,C,C,307.9010075,.25X
GIFI,"Gulf Island Fabrication, Inc.",A,D,C,B,C,63.53907025,.25X
GILD,"Gilead Sciences, Inc.",F,B,B,F,C,74501.35692,4X
GLUU,Glu Mobile Inc,A,D,C,C,C,2203.86955,.5X
GOOGL,Alphabet Inc,D,B,D,C,C,819705.9079,4X
GPI,"Group 1 Automotive, Inc.",A,D,C,C,C,3576.494399,1X
GRMN,Garmin Ltd,F,C,C,B,B,23003.61803,4X
GTT,GTT Communications Inc,A,D,C,C,C,138.8141097,.25X
HD,"Home Depot, Inc.",F,B,C,B,C,359602.9221,4X
HGV,Hilton Grand Vacations Inc,A,C,C,C,C,6293.89405,2X
HIBB,Hibbett Inc,F,C,B,B,C,756.4086013,.25X
HII,Huntington Ingalls Industries Inc,A,C,C,C,C,7774.848697,2X
HLX,Helix Energy Solutions Group Inc,A,C,C,C,C,701.1971313,.25X
HURN,Huron Consulting Group Inc,D,D,C,C,C,1072.689226,.5X
ICE,Intercontinental Exchange Inc,A,B,B,C,C,77095.94633,4X
IEP,Icahn Enterprises L P,A,D,C,D,D,13626.00479,2X
IPAR,"Inter Parfums, Inc.",F,C,C,C,C,2722.326388,1X
IRBT,Irobot Corp,F,D,C,B,C,1659.498639,.5X
IVAC,"Intevac, Inc.",A,D,C,B,C,129.5681357,.25X
JBLU,Jetblue Airways Corp,A,C,C,C,C,4639.943227,1X
JLL,Jones Lang Lasalle Inc.,F,B,B,C,C,11858.61383,2X
K,Kellogg Co,D,B,B,C,C,20711.80525,4X
KAI,"Kadant, Inc.",F,C,B,C,C,2376.625995,.5X
KDP,Keurig Dr Pepper Inc,A,B,B,C,C,53601.38333,4X
KKR,KKR & Co. Inc.,F,D,C,C,C,34672.85196,4X
KMX,Carmax Inc,F,C,C,D,C,16935.96788,2X
KTOS,Kratos Defense & Security Solutions Inc,A,D,D,D,D,2480.390295,.5X
KW,Kennedy-Wilson Holdings Inc,D,C,C,C,C,3276.968297,1X
LANC,Lancaster Colony Corp.,D,C,C,B,C,4230.96408,1X
0Q15,Abbott Laboratories,F,,,,,211816.2169,4X
AAON,AAON Inc.,F,C,C,B,C,3060.378007,1X
ACIW,ACI Worldwide Inc,D,D,C,C,C,3907.531942,1X
ACTG,Acacia Research Corp,F,D,D,C,C,188.508253,.25X
ADAP,Adaptimmune Therapeutics Plc,F,D,C,C,C,340.2728188,.25X
ADSK,Autodesk Inc.,F,B,B,C,C,46894.09907,4X
AGIO,Agios Pharmaceuticals Inc,F,D,C,C,C,1738.478821,.5X
ALNY,Alnylam Pharmaceuticals Inc,D,C,C,C,C,19639.58127,2X
AMED,Amedisys Inc.,A,C,C,C,C,5448.231875,1X
AMRN,Amarin Corp,D,,,,,1223.181201,.5X
AN,Autonation Inc.,A,C,C,C,C,8480.480697,2X
AOS,A.O. Smith Corp.,F,C,C,B,B,9064.095455,2X
APH,Amphenol Corp.,F,B,C,C,C,45904.73493,4X
ARWR,Arrowhead Pharmaceuticals Inc.,F,D,D,B,C,4939.803549,1X
ASH,Ashland Global Holdings Inc,F,B,B,C,C,5734.443096,1X
ATEN,A10 Networks Inc,F,D,C,B,C,1074.556609,.5X
AZO,Autozone Inc.,D,C,C,B,C,40945.1878,4X
BB,BlackBerry Ltd,F,B,B,B,B,3986.085038,1X
BBBY,"Bed, Bath & Beyond Inc.",A,C,C,C,C,2230.398106,.5X
BCO,Brink`s Co.,A,C,B,F,D,3299.729425,1X
BCOR,Blucora Inc,A,C,C,C,C,933.9989079,.5X
BDSI,Biodelivery Sciences International,A,D,C,D,D,550.1743067,.25X
BIIB,Biogen Inc,F,B,B,C,C,31083.90521,4X
BIO,Bio-Rad Laboratories Inc.,F,D,C,B,C,14531.23747,2X
BKD,Brookdale Senior Living Inc,A,C,C,D,C,1235.058214,.5X
BNFT,Benefitfocus Inc,A,C,C,D,C,366.5796896,.25X
BRBR,Bellring Brands Inc,D,D,B,C,C,1080.215156,.5X
BX,Blackstone Inc,D,C,C,B,B,84268.77875,4X
CAG,Conagra Brands Inc,D,B,C,C,C,15225.35365,2X
CBT,Cabot Corp.,A,B,B,C,B,4014.324713,1X
CCS,Century Communities Inc,F,C,C,C,C,2168.304217,.5X
CELH,Celsius Holdings Inc,F,D,D,C,D,4556.827298,1X
CENT,Central Garden & Pet Co.,F,D,C,D,D,529.6346458,.25X
CGNX,Cognex Corp.,D,B,C,B,B,12661.0683,2X
CHS,"Chico`s Fas, Inc.",F,C,B,C,C,558.445416,.25X
CLDX,Celldex Therapeutics Inc.,D,D,C,B,C,1652.429519,.5X
CLW,Clearwater Paper Corp,F,B,B,D,C,507.4616445,.25X
CMC,Commercial Metals Co.,A,B,B,C,B,4918.535508,1X
CMG,Chipotle Mexican Grill,F,C,C,B,C,44607.06477,4X
COLM,Columbia Sportswear Co.,D,B,C,B,B,6177.811798,2X
CRBP,Corbus Pharmaceuticals Holdings Inc,F,,,,,41.33871382,.25X
CRM,Salesforce.Com Inc,F,B,B,C,C,214205.2,4X
CRWS,"Crown Crafts, Inc.",F,,,,,65.81586992,.25X
CTRN,Citi Trends Inc,F,D,C,B,C,352.5389115,.25X
CTS,CTS Corp.,D,C,B,C,C,1171.572119,.5X
CTXS,"Citrix Systems, Inc.",A,B,B,D,C,12515.13994,2X
CVGW,"Calavo Growers, Inc",F,C,C,C,C,612.7481745,.25X
CX,Cemex S.A.B. De C.V.,F,,,,,7977.441536,2X
DCO,Ducommun Inc.,A,C,C,D,D,605.790764,.25X
DDD,3D Systems Corp.,F,D,C,B,C,2036.32975,.5X
DE,Deere & Co.,A,B,C,D,C,128101.8996,4X
DENN,Denny`s Corp.,F,D,C,C,C,928.3319711,.5X
DGII,"Digi International, Inc.",F,D,C,C,C,694.1587279,.25X
DHR,Danaher Corp.,F,C,B,D,C,208594.3139,4X
DRI,"Darden Restaurants, Inc.",F,C,C,C,C,17343.16995,2X
EA,"Electronic Arts, Inc.",D,C,C,C,C,35936.99059,4X
ENV,Envestnet Inc.,D,D,C,D,D,4160.063077,1X
EOG,"EOG Resources, Inc.",A,B,C,B,B,67610.89247,4X
EPZM,Epizyme Inc,F,D,D,D,D,144.171819,.25X
FLEX,Flex Ltd,D,B,C,D,C,8334.013228,2X
FTNT,Fortinet Inc,F,B,B,B,B,52257.56439,4X
GCO,Genesco Inc.,A,C,B,B,B,1075.765214,.5X
GERN,Geron Corp.,B,D,D,C,D,391.1310179,.25X
GFF,Griffon Corp.,F,C,C,D,C,1258.228845,.5X
GLT,Glatfelter Corporation,F,C,C,D,C,569.9211392,.25X
GNW,Genworth Financial Inc,D,C,C,C,C,1917.918453,.5X
GSK,Glaxosmithkline plc,D,B,C,D,C,108232.5434,4X
GSS,Golden Star Resources Ltd.,A,B,B,D,C,451.3276833,.25X
HZO,"Marinemax, Inc.",F,D,C,B,C,999.2009003,.5X
ICD,Independence Contract Drilling Inc,A,D,C,D,D,29.26550548,.25X
IFF,International Flavors & Fragrances Inc.,F,B,B,D,C,32866.77993,4X
IPG,"Interpublic Group Of Cos., Inc.",D,C,C,C,C,14186.07291,2X
IR,Ingersoll-Rand Inc,F,C,C,C,C,21595.95698,4X
ITW,"Illinois Tool Works, Inc.",F,B,B,B,B,66877.11595,4X
JBHT,"J.B. Hunt Transport Services, Inc.",A,B,C,B,B,22624.51039,4X
JCOM,J2 Global Inc.,A,D,C,D,D,6885.486642,2X
JD,JD.com Inc,D,C,C,B,C,87069.68099,4X
JELD,JELD-WEN Holding Inc.,D,C,C,D,C,2240.277439,.5X
KRA,Kraton Corp,A,B,B,C,C,1494.245361,.5X
LH,Laboratory Corp. Of America Holdings,F,C,B,C,C,26614.741,4X
LKQ,LKQ Corp,F,C,C,C,C,13851.45993,2X
LLNW,Limelight Networks Inc,A,D,C,D,D,605.6475674,.25X
LUMN,Lumen Technologies Inc,A,B,C,C,C,12223.86739,2X
LYB,LyondellBasell Industries NV,A,C,B,C,C,34264.40914,4X
MAR,"Marriott International, Inc.",A,B,C,C,B,55749.11261,4X
MBUU,Malibu Boats Inc,F,D,C,C,C,1277.264416,.5X
MDCA,MDC Partners Inc.,A,D,C,D,D,397.3366065,.25X
MIDD,Middleby Corp.,F,C,C,C,C,9603.340488,2X
MMC,"Marsh & McLennan Cos., Inc.",D,C,C,B,C,82240.58803,4X
MOS,Mosaic Company,A,C,B,C,C,23584.00228,4X
MRIN,Marin Software Inc,F,,,,,17.87338,.25X
MRNA,Moderna Inc,F,D,D,B,C,72224.43461,4X
MXIM,"Maxim Integrated Products, Inc.",C,B,B,C,B,27679.02727,4X
NCLH,Norwegian Cruise Line Holdings Ltd,D,B,C,D,C,7363.601895,2X
NCMI,National Cinemedia Inc,F,D,C,C,C,202.640905,.25X
NDAQ,Nasdaq Inc,F,C,C,C,C,29967.9446,4X
NDSN,Nordson Corp.,F,B,C,B,C,13422.71831,2X
AAIC,Arlington Asset Investment Corp,D,D,D,C,C,110.5722526,.25X
ABC,Amerisource Bergen Corp.,A,B,C,B,C,31583.64163,4X
ACI,Albertsons Companies Inc,A,,,,,16428.78273,2X
AERI,Aerie Pharmaceuticals Inc,A,D,C,D,D,415.1816504,.25X
AGI,Alamos Gold Inc.,A,B,B,B,B,3261.436852,1X
